SHOW,TYPE,NAME
21ST PRECINCT,Star,Harold Stone
21ST PRECINCT,Star,Ken Lynch
21ST PRECINCT,Star,Les Damon
A CANTICLE FOR LIEBOWITZ,Star,Bart Hayman
A CANTICLE FOR LIEBOWITZ,Star,Fred Coffin
A CANTICLE FOR LIEBOWITZ,Star,Herb Hartig
A CANTICLE FOR LIEBOWITZ,Star,Russell Horton
A CASE FOR DR. MORELLE,Star,Cecil Parker
A CASE FOR DR. MORELLE,Star,Shiela Simms
A DATE WITH JUDY,Star,Ann Gillis
A DATE WITH JUDY,Announcer,Bill Goodwin
A DATE WITH JUDY,Star,Dix Davis
A DATE WITH JUDY,Star,Ken Christy
A DATE WITH JUDY,Star,Louise Erickson
A DATE WITH JUDY,Star,Margaret Braeton
A DATE WITH JUDY,Star,Myra Marsh
A DATE WITH JUDY,Star,Paul Mcgrath
A HALF HOUR TO KILL,Star,William Conrad
A LIFE IN YOUR HANDS,Star,Carleton Kadell
ABC MYSTERY TIME,Host,Don Dowd
ABC MYSTERY TIME,Star,Mason Adams
ACADEMY AWARD THEATER,Announcer,Hugh Brundage
ACROSS THE UNIVERSE,Host,Robert Lindsay
ACTION EIGHTY,Announcer,Dan Cubberly
ACTION EIGHTY,Star,Ed Begley
ACTION EIGHTY,Star,Larry Dobkin
ACTION EIGHTY,Star,William Conrad
ACTION THEATER,Announcer,Art Baker
ACTION THEATER,Host,William Gargan
ADVENTURE,Star,Douglas Fairbanks Jr.
ADVENTURE INCORPORATED,Star,Frank Graham
ADVENTURE IS YOUR HERITAGE,Announcer,Don Wilson
ADVENTURE PARADE,Announcer,George Hogan
ADVENTURE PARADE,Host,John Griggs
ADVENTURES BY MORSE,Star,David Ellis
ADVENTURES BY MORSE,Star,Elliott Lewis
ADVENTURES BY MORSE,Star,Russell Thorson
ADVENTURES IN RESEARCH,Host,Paul Shannon
ADVENTURES IN RHYTHM,Star,Alvino Rey
ADVENTURES IN RHYTHM,Star,Betty Jane Rhodes
ADVENTURES OF BILL LANCE,Star,Gerald Mohr
ADVENTURES OF BILL LANCE,Star,Howard Mcnear
AFRS RANCH HOUSE PARTY,Host,Carolina Cotton
AFRS RANCH HOUSE PARTY,Announcer,Cottonseed Clark
AFRS RANCH HOUSE PARTY,Star,Foy Willing
AFRS RANCH HOUSE PARTY,Star,Ken Curtis
AIR CASTLE,Host,Baron Key
ALAN FREED,Host,Alan Freed
ALBUM OF MANHATTAN,Host,Louie Sobel
ALL AMERICAN ALL STAR JAZZ CONCERT,Host,Howard Duff
ALL AMERICAN SPORTS SHOW,Host,Joe Hassel
ALL STAR WESTERN THEATER,Star,Foy Willing
ALL STAR WESTERN THEATER,Star,Tex Ritter
ALVINO REY -MAXINE GRAY SHOW,Announcer,Rolley Thomas
ALVINO REY- MAXINE GRAY SHOW,Star,Alvino Rey
ALVINO REY- MAXINE GRAY SHOW,Star,Maxine Gray
AMERICA'S TOWN MEETING OF THE AIR,Host,George V. Denny Jr.
AMERICA'S MOST INTERESTING PEOPLE,Host,Jerry Lawrence
AMERICAN PANORAMA,Host,True Boardman
AMERICAN PORTRAITS,Announcer,Ben Grauer
AMOS AND ANDY,Star,Amanda Randolph
AMOS AND ANDY,Star,Charles Correll
AMOS AND ANDY,Star,Ernestine Wade
AMOS AND ANDY,Star,Freman Gosden
AN AMERICAN GALLERY,Announcer,Art Balinger
AN AMERICAN GALLERY,Announcer,Terry O'sullivan
AN AMERICAN RHAPSODY,Host,Frederick Shields
AN AMERICAN RHAPSODY,Announcer,James Matthews
AN EVENING WITH ROMBERG,Star,Robert Merrill
AN EVENING WITH ROMBERG,Star,Thomas Hayward
ANTHOLOGY,Announcer,Fleetwood
ARE YOU A GENIUS,Host,Mel Blanc
ARTHUR C. CLARKE'S WORLD OF SCIENCE FICTION,Star,Hewell Bennett
ARTHUR C. CLARKE'S WORLD OF SCIENCE FICTION,Star,William Ruston
ASK-IT BASKET,Announcer,Del Sharbutt
ASK-IT BASKET,Host,Jim Mcwilliams
AT HOME WITH THE CRABTREES,Announcer,Bob LeMond
AT HOME WITH THE CRABTREES,Star,Jim Backus
AT HOME WITH THE CRABTREES,Star,Joe Kerns
AT HOME WITH THE CRABTREES,Star,Verna Felton
AT YOUR REQUEST,Star,Boyd Smith
AT YOUR REQUEST,Star,Fred Casper
AVALON TIME,Star,Edna Stilwell
AVALON TIME,Star,Red Foley
AVALON TIME,Star,Red Skelton
BABY ROSE MARIE SHOW,Star,Rose Marie Curley
BACHELOR'S CHILDREN,Star,Olan Soule
BACHELOR'S CHILDREN,Star,Patricia Dunlap
BAKER'S BREAD PROGRAM,Star,Bert Lahr
BAKER'S BREAD PROGRAM,Star,Linda Ware
BAKER'S BREAD PROGRAM,Star,Tony Martin
BARNABY,Announcer,Larry Keating
BARREL OF FUN,Announcer,Art Gilmore
