Show,Identifier
21st Precinct,OTRR_21st_Precinct_Singles
A Canticle For Liebowitz,
A Case For Dr. Morelle,ACaseForDrMorelle
A Date With Judy,A_Date_With_Judy
A Half Hour To Kill,
A Life In Your Hands,A_Life_In_Your_Hands_744
Abc Mystery Time,
Academy Award Theater,AcademyAwardTheaterXxx46.12.18LostAngel
Across The Universe,
Action Eighty,
Action Theater,
Adventure,
Adventure Incorporated,
Adventure Is Your Heritage,
Adventure Parade,
Adventures By Morse,Adventures_By_Morse
Adventures In Research,Adventures_In_Research
Adventures In Rhythm,
Adventures Of Bill Lance,
Afrs Ranch House Party,
Air Castle,
Alan Freed,OTE_19900906_Alan_Freed
Album Of Manhattan,
All American All Star Jazz Concert,
All American Sports Show,
All Star Western Theater,OTRR_All_Star_Western_Theatre_Singles
Alvino Rey- Maxine Gray Show,
America's Town Meeting Of The Air,ATMOTA
America's Most Interesting People,
American Panorama,
American Portraits,
Amos And Andy,amosandy1
An American Gallery,
An American Rhapsody,
An Evening With Romberg,
Anthology,
Are You A Genius,
Arthur C. Clarke's World Of Science Fiction,
Ask-it Basket,
At Home With The Crabtrees,
At Your Request,
Avalon Time,AvalonTimeRedSkelton
Baby Rose Marie Show,BabyRoseMarieCollection1930-1935Complete
Bachelor's Children,
Baker's Bread Program,
Barnaby,
Barrel Of Fun,Barrel_of_Fun
Barry Wood Show,
Basin Street,
Battle Of The Sexes,
Battle Stations,Battle_Stations
Beat The Band,
Beat Your Wife,
Beauty Vs. Brains,
Behind The Front Page,
Behind The Mike,OTRR_Behind_The_Mike_Singles
Behind The Scenes,
Behind The Scenes At Cbs,
Benny Goodman Music Festival,
Best Of All,
Best Plays,BestPlays1952-1953
Big Jim Mc Lain,
Big Moments In Sports,
Big Town,BigTown
Billy Rose's Jumbo,
Birds Eye Open House,
Black Hood,otr_blackhood
Blackstone The Magic Detective,Blackstone_The_Magic_Detective
Blind Date,
Blondie,OtrBlondie
Blue Ribbon Town,otr_blueribbontown
Bob And Victoria,
Bob Carleton Show,
Bob Poole Show,
Bold Venture,BoldVenture57Episodes
Boston Blackie,OTRR_Boston_Blackie_Singles
Box Office,
Boyd Raeburn Show,
Breakfast At Sardi,
Breakfast In Hollywood,BreakfastInHollywood
Bright Star,OTRR_Bright_Star_Singles
Bring 'em Back Alive,bring_em_back_alive
Broadway's My Beat,OTRR_Broadway_Is_My_Beat_Singles
Brownstone Theater,
Bulldog Drummond,Bulldog_Drummond
Bunco Squad,BuncoSquad
Burns And Allen,TheBurnsAllenShow
By Popular Demand,
California Melodies,CaliforniaMelodies
Call The Police,CallThePolice
Calling All Cars,Calling_All_Cars_OTR
Campana Serenade,
Campus Capers,
Campus Correspondent,
Can You Imagine That,OTRR_Can_You_Imagine_That_Singles
Can You Tie That,
Candid Microphone,
Candy Matson Yukon,OTRR_Candy_Matson_Singles
Captain Flagg And Sergeant Quirt,
Captain Midnight,Captain_Midnight
Captain Stubby And His Buccaneers,
Carlyle Stevens,
Carolina Cotton Calls,
Case Dismissed,OTRR_Case_Dismissed_Singles
Cases Of Mister Ace,
Casey  Crime Photographer,OTRR_Casey_Crime_Photographer_Singles
Cbs Looks At Hollywood,
Cbs Radio Workshop,CBSRadioWorkshop
Celebrity Club,
Chamber Music Society Of Lower Basin Street,ChamberMusicSocietyOfLowerBasinStreet
Chandu The Magician,ChanduTheMagician321013TheClockStrikesFive
Chaplain Jim,
Cheerio,
Chevrolet Program,
Chicago Theater Of The Air,
Chick Carter - Boy Detective,Chick_Carter_Boy_Detective
Christmas Sing With Bing,
Chuck-wagon Jamboree,
Cimarron Tavern,
Circus Night In Silvertown,
Cloak And Dagger,OTRR_Cloak_and_Dagger_Singles
Club Fifteen,
Club Hollywood,otr_clubhollywood
Club Oasis,
Coast To Coast On A Bus,
Columbia,ColumbiaWorkshop
Columbia's Stage Door,
Comedy Stars Of Hollywood,
Comic Weekly Man,OTRR_Comic_Weekly_Man_Singles
Community Sing,
Confidential Closeups,
Conflict,
Contemporary Composers Concert,
Coty Salute To Youth,
Counterspy,DavidHarding-counterspy-page1
Court Of Human Relations,
Court Of Mediation,
Court Of Missing Heirs,
Creeps By Night,Creeps_By_Night
Crime And Peter Chambers,OTRR_Crime_and_Peter_Chambers_Singles
Crime Classics,OTRR_Crime_Classics_Singles
Crime Correspondent,otr_crimecorrespondent
Crime Does Not Pay,Crime_Does_Not_Pay
Crime On The Waterfront,CrimeOnTheWaterfront490301TheHeiressCruise
Criminal At Large,
Crisco's Star Playhouse,
Crusader Chronicles,
Curtain Time,CurtainTime_876
Daisy Discovers America,
Danger Doctor Danfield,OTRR_Danger_Dr_Danfield_Singles
Dangerous Assignment,Otrr_Dangerous_Assignment_Singles
Dangerously Yours,OTRR_Dangerously_Yours_Singles
Dark Venture,DarkVenture
Darling And Dearie,
Date In Hollywood,
