SHOW,SHOW ANNOUNCER
ACADEMY AWARD THEATER,Hugh Brundage
ALVINO REY - MAXINE GRAY SHOW,Rolley Thomas
THE ANDREWS SISTERS,Andre Baruch
THE ALAN YOUNG SHOW,Michael Roy
ADVENTURE IS YOUR HERITAGE,Don Wilson
AN AMERICAN GALLERY,Terry O'Sullivan
AN AMERICAN GALLERY,Art Ballenger
AMERICAN PORTRAITS,Ben Grauer
ANTHOLOGY,Fleetwood
THE ABBOTT AND COSTELLO SHOW,Harry Von Zell
THE ABE BURROWS SHOW,Bob Lemond
ACTION EIGHTY,Dan Cubberly
ACTION THEATER,Art Baker
THE AL PEARCE SHOW,Johnny Wolfe
THE ADVENTURES OF ANNIE OAKLEY AND TAGG,Charles Lyon
AT HOME WITH THE CRABTREES,Bob Lamond
AFRS RANCH HOUSE PARTY,Cottonseed Clark
ADVENTURE PARADE,George Hogan
ASK-IT BASKET,Del Sharbutt
AN AMERICAN RHAPSODY,James Matthews
RIPLEY‰Û_ÌãÌ«S BELIEVE IT OR NOT,Bill Griffis
BURNS AND ALLEN,Ken Niles
THE BOB HOPE SHOW,Fred Utell
BOSTON BLACKIE,Harlow Wilcox
BATTLE STATIONS,Jack Costello
BEST OF ALL,Kenneth Banghart
BARREL OF FUN,Art Gilmore
THE BIG GUY,Fred Collins
BIRDS EYE OPEN HOUSE,Harry Von Zell
THE BEULAH SHOW,Johnny Jacobs
THE BING CROSBY SHOW,Harry von Zell
BLONDIE,Bill Goodwin
BUNCO SQUAD,Ralph Rose
THE BIG STORY,Ernest Chappell
BEAT THE BAND,Marvin Miller
BARNABY,Larry Keating
BEAUTY VS. BRAINS,Al Owen
BEHIND THE FRONT PAGE,Cy Harrice
THE BILLY MAY SHOW,Hy Averback
THE BOB CROSBY SHOW,Larry Keating
THE BAKER‰Û_ÌãÌ«S BROADCAST,Bud Hiestand
BATTLE OF THE SEXES,Jack Cosello
BEAT YOUR WIFE,Willard Scott
THE BABBITT SISTERS IN ANOTHER PART OF HOLLYWOO,David Jordan
BIG MOMENTS IN SPORTS,Bill Readick
BENNY GOODMAN MUSIC FESTIVAL,Bud Collyer
THE CLOCK,Gene Kirby
CALIFORNIA MELODIES,Bill Gordon
CBS RADIO WORKSHOP,William Conrad
CHANDU THE MAGICIAN,Howard Culver
THE CHASE,Fred Collins
CALLING ALL CARS,Berry Krieger
THE CHARLOTTE GREENWOOD SHOW,Wendall Niles
THE CRUISE OF THE POLL PARROT,Dave Ward
CELEBRITY CLUB,Bill Cullen
CELEBRITY CLUB,Clayton Collyer
CRIME AND PETER CHAMBERS,Fred Collins
THE CHARLIE MCCARTHY SHOW,Wemdell Niles
THE ADVENTURES OF CHARLIE LUNG,Bruce Anson
THE CHESTERFIELD MUSIC SHOP,Wendell Niles
CIRCUS NIGHT IN SILVERTOWN,Ben Grauer
THE COLGATE HOUSE PARTY,Alois Havrilla
THE CURTAIN OF TIME,Harlow Wilcox
THE CONNEE BOSWELL SHOW,Jack McCarthy
THE CONNEE BOSWELL SHOW,Jack McCarthy
CRIMINAL AT LARGE,Ken Carpenter
CALL THE POLICE,Jay Simms
CBS LOOKS AT HOLLYWOOD,Martin Block
COURT OF HUMAN RELATIONS,Nelson Case
THE CELANESE HOUR,George Putnam
THE CIRCLE,Gordon Fraser
CASE DISMISSED,Lee Bennett
CHRISTMAS SING WITH BING,Ken Carpenter
THE CHARLIE RUGGLES SHOW,Harlow Wilcox
CHANDU THE MAGICIAN,Howard Culver
COLUMBIA‰Û_ÌãÌ«S STAGE DOOR,Tony Marvin
THE COMEDY PLAYHOUSE,John Mallow
THE CLINT NOBLE PROGRAM,Milton Cross
CRISCO‰Û_ÌãÌ«S STAR PLAYHOUSE,Marvin Miller
DON‰Û_ÌãÌ«T CHEAT UNCLE SAM,Fred Scott
