Leith Stevens\n
Carlton E.
Elliott Lewis
David Ellis
Arthur C.
William Ruston
Charles Michelson
James Monks
Dick Janiver
Edna Stilwell
Negro Quartet
Red Foley
Alvino Rey
Peter Cushing
Henry Stamfer
Sandra Clark
Shirley Dickson
Irene Tucklef
Fraser Carr
Andrew Spear
Steve\n\n Titus
Joan Matheson
William Eagle
Clifford Norgate
James Thomlinson
Richard Herndle
Rene Bijenico
John Dyre
Chris Jenkins
Donald Monatt
Emma Peel
Andrews Sisters
Curt Massey
Andre Baruch\n
Vic Schoen
Curt Massey\n
Norman Corwin\n
Edward R.
Sal Hepatica
Mums Fridays
Alan Young
Jim Backus
George Wyle
Jean Gillespie
Ed Begley
Herbert Rice\n Anthology Dramas
William Malley\n\n
Terry O'Sullivan
Dee Engelbach
Ben Grauer
George H.
Jane Morgan
Fred Howard
Jane Webb
Douglas Mead
Josephine Gilbert
Vivi Janiss
Jack Edwards
Dick Wells
Hugh Brundage
George Fogle
Edwin H.
Lee Crosby
Virginia Crosby
Gil South
John Malcom
Draper Lewis\n
John Clayton
Freman Gosden
Charles Correlln Ernestine Wade
Harriett Widmar
Elinor Harriot
Terry Howard
Madeline Lee
Lou Lubin
Eddie Green
Charles Correll
Ernestine Wade
Freeman Gosden
Disc Jockeys
Summer Replacement
Bud Abbott
Harry Von Zell
Frank Bingham
Peter Van Steeden Orchestra
Benay Venuta
Lou Costello
Mel Blanc\n
Ken Niles
Leith Stevens
Freddie Rich
Will Oaborne
Alan Roth
Carl Hoff
Skinnay Ennis
Connie Haines
Camel Five
Les Baxter Singers
Matty Malneck
Susan Miller
Marilyn Williams
Hal Winters
Michael Roy
Costello Kid
MR. MALONE
Mr. Malone
Frank Lovejoy
John J.
William P.
Bernard L.
Gene Raymond
Craig Rice\n
Arthur Gary
Bernard L. Schubert
Richard Lewis
Will Wright
Marlin Styles
Sustained Saturdays
Frank Parker
Harry Horlick
William Conrad
William Gargan\n
Art Baker\n
Douglas Fairbanks
Richard Kollmar
Al Pearce Ane
Blue Network
Larry Marsh
De Marco Sisters
Eilene Harris
Foy Willing
Tex Ritter
Andy Mansfield
William M.
Norman Vincent Peale Religious
Verna Felton
Joe Kerns
Boyd Smith
Harry Cogan Orchestra
Allen Prescott
Ken Curtis
David Rose Orchestra
Betty Jane
John Griggs\n Announcer
Biltmore Hotel
Baron Keys
Alan Freed\n Orchestra
Duke Ellington
Horace Heidt
Dorothy Raye
Fred Lowery
Knox Manning
Nadine Conner
Bill Roberts
Edward Kay
George V. Denny
Network Reader
Various Hosts.\n
Jack Coakley
Gene Baker
Wilbur Hatch
James Matthews
Betty Jane Rhodes
John Chapman
Ernest Kinoy
Edward King
Fred Collins
Robert Denton\n Series
Musical Variety Show Sundays
Merideth Wilson Writers
Goodman Ace
Ed Herlihy
Robert Ripley\n
Ozzie Nelson Orchestra
Rolfe Orchestra
Foods Mondays
Robert Ripley
Bill Griffis
George Lefferts
Douglas F.
Robert L.
Alan Ladd
Sylvia Picker
Vern Carstensen
Richard Sanville
Mike McDonough
Paul Frees\n\n BRIGHAM
Elliot Lewis\n
George Burns
Ferde Grofe
Gracie Allen
Jacques Renard
Henry King
Dick Foran
Ronald Drake
Ray Noble
Jan Garber
Glen Gray
Frank Parker\n
Truman Bradley\n
Truman Bradley
Arti Shaw
Jimmy Cash
Richard Haydn
Paul Whiteman
Elvia Allman
Bill Goodwin
Felix Mills
Harry Von
Meredith Willson
Mel Blanc
Bea Benaderet
Hans Conreid
Gale Gordon\n
Harry Lubin
Horace McNear
Hal March
Bromo Seltzer
Bob Hope
Jane Froman
Al Goodman
Shep Fields
Jerry Colonna
Patricia Wilder
Honey Chile
Patsey Kelly
Skinnay Ennis Orchestra
Six Hits
Judy Garland
Frances Langford
Betty Hutton\n
Vera Vague
Barbara Jo Allen
Stan Kenton
Les Brown
Bill Farrell
Jack Kirkwood
Irene Ryan
Les Brown Orchestra
Four Hits
Marilyn Maxwell
Armed Forces Radio Shows
Chester Morris
Lesley Woods
Richard Lane
Dick Lane
Harlow Wilcox Above
Jack Costello
Leo Campenski Orchestra
Joseph Mansfield
Irene Dunne
Fred MacMurray
Skitch Henderson
Tonight Show
Jack Paar
Sara Flemming
Clark Dennis
Donald Graham
Sylvia Michaels
Jack Haskill
Art Gilmore\n\n
Dave Rose\n\n
Charlie Ruggles
Benny Rubin
John Calvin
David Anderson
Joan Laser
Paul Frees\n\n
Harold Noice
Famous Exployer
Ed Jerome
Don Ameche
Danny\n\n Thomas
Francis Langford
Lew Parker\n\n
Robert Emmett
Glenhall Taylor
Rose Marie Curley
Dick Van
Bob Corley\n
Amanda Randolph
Hugh Studebaker
Mary Jane Croft
Ernie Whitman
Johnny Jacobs
Sol Saks
Herb Finn
Bill Freedman
Sherward Schwartz
Arthur Julian
Hal Kanter
Howad Leeds
Bill Kirby
Announces Baseball
Announces Basketball
Announces Hockey
Announces Boxing Matches
Announces Football
Fifteen Minutes
Bing Crosby
John Scott Trotter Orchestra
Jud Conlon
Bill Morrow
John Scott Trotter
Penny Singleton
Network Sustained
Ann Rutherford
Humphrey Bogart
Johnson Family
Larry Goldman
Earle Ross
Lillian Randolph
Donald Voorhees
Edward Pawley
Steve Wilson
Fran Carlon
Fanny Bryce
Bob Elloit
Tom Victor
Barnard J.
Gail Ingram
Max Ehrlich
Ernie Watson\n
Harry Sosnick
Lucille Norman\n
Bob Burns
Thomas L.
Frank Hummert
Bert Parks\n
John Nelson\n
Tiny Ruffner\n
Joseph Gallicchio
Jackson Beck
Tony Martin
Bert Lahr
Larry Keating
Joseph Connelly
Bob Mosier
Albert Sachs
Olga San Juan
Brazillian Jive
Jose Olivera
Frank Morgan
Reginald Gardner
Ralph Bellamy
James Baskus
Norma Jean Nilsson
Hilmar Robert
Ben Bernie
John Milton
Wayne Fellows
Don Douglas
Scott Douglas
Kip Burland
Bob Crosby
Jeri Sullivan
Bob Smith\n
Don Rickles\n
Binnie Barnes
George Coulouris
Georgie Price
Dorothy Laudon
Ray Block
Norman Brokenshire\n
Mary Small
Ray Bloch
Bobby Hammock
Irv Edelman
Wes Elemore
Harriet Hilliard
Ozzie Nelson
Bob Carleton
Julia Sanderson
Beulah Shark
Stan Dougherty
Broadcast Live
Australian Artrasna
Martha Wentworth
David Jordan\n
Dorothy Kilgallen
Boyd Raeburn
Harry Wismer\n Announcer
Arthur Susskind
Gerald Mohr
Benny Goodman
Martha Tilton
Art Lund
Olan Soule
Celeste Rush
Barry Wood
Margaret Whiting
Henry Sylvern
Bernard Herrmann
Morton Fine
Bob Lemond
Roy Rowen
Elliot Lewis
Cathy Lewis\n
Maxine Gray
Art Tatum
Bill Gordon\n
Frank De Vol
Les Paul
Tony La
Cecil Parker
John Housman
Niles Welch
Ernest Chappell
Orson Welles
Ray Collins
Agnes Moorehead
Frank Readick
Georgia Backus
Everett Sloane
Edgar Barrier
John Dietz\n Arnold Moss
John Dickson
Dinah Shore
Harry James
Jack Johnstone
William N. Robson
William Conrad Music
Amerigo Moreno
Great Ingenious
Gayne Whiteman
Margaret MacDonald
Bob Bixby
Juan Rolando
Korla Pandit
Tom Collins
Irene Tedrow
Lee Miller
Joy Terry
Vieola Vonn
Luis Van
Jack Kruschen
Lee Millar
Organ Music
Daniel Sutter
Fred Weihe
Vic Perrin
Clyde Beatty
Buddy Duncan
Barbara Jean Wong
Joseph Kerns
Hanley Stafford
Howard McNear
Frank Nelson
Cy Kendall
Gale Gordon
Ted Osborne
Ed Max
Joe DuVal
Dorothy Scott
Bud Thompson
Clanville Heisch
William N.
Jim French\n
Jim French
Pat French
Bill Lipton
Nick Carter
Armed Forces
Raymond Edward
Jack Mather
Nanette Sargent
Mike Wallace
John Dietz\n
Archie Bleyer Orchestra
Fun Kids Serial
Natalie Masters
Henry Leff
Archie Blyer
Bill Cullen
Jackie Kelk
Art Carney
Raymond Edward Johnson
Gilbert Mack
Ed Prentiss
Jerry Browning
Fred Coffin
Bart Hayman
Herb Hartig\n
Carl Schmidt
John Reed
Walter Miller
Sanborn Coffee Sundays
Charlie McCarthy
Edgar Bergen
Dorothy Lamour
Nelson Eddy
Wemdell Niles
Robert Armbruster
Jim Ameche\n
Jim Ameche
Victor Moore
Anita Gordon
Edgar Bergan
Bill Baldwin\n
Gary Crosby
Henry Levine
Woodbury Sundays
Army Reserve
Charlie Lung
Johnny Mercer
Jo Stafford
Paul Weston Orchestra
Perry Como
Robert R.
Glenn Ford Wm
Peg La Centra
Tim Ryan
Teddy Bergman
Alan Reed
Chris Lang
Andy Taylor
Simon Greenall
Harry Thompson
Chris Langham
Hearst Sundays
Carlton Young
Betty Lou
Charles Crowder
Leonard Joy
Stars Jackson
Connee Boswell
Lloyd Shaffer
Ted Husing
Jerry Belcher Interviews
Spike Jones
Ben Brady\n
Charles K.
Joseph Julian
Peter Barry
George Petrie
Amzie Strickland
Robert Dryden\n
John Cole
Dick Powell
George Raft
Jeanette Nolan
Hedda Hopper
Gene Autry
Don MacLaughlin
Andrew Jackson Hotel
Christina Welsh
Alice King
Paul Frees
Gordon P.
William Demarest
Art Peterson
Larry Alexander
Campbell Soup
Evelyn Knight
Dick Haymes
Ransom Sherman The Ranch Boys
Franklin Brown
Kay LaValle
Kay Armen\n
Atrthur Rubinstein
Jan Peerce
Frank Black\n
Roger Rittner
Louise Sharkey
Isabel Carothers
Clark Dennis\n
Henry Busse
CLIFF JOHNSON
Krank Shave
Cliff Johnson\n
Art West
Suzie West
Emmylou Harris
Carole Lombard
Groucho Marx
Robert Emmett Dolan
Milton Geiger
George Edwards
Australian Radio
Errol Flynn
Christopher Casanova
Walter Schumann
Carolina Cotton
Africa Bristal
Gillette Community
Milton Berle
Broadcast Service
Bar Association
Tommy McLoughlin
Victor Arden
David Rubinoff
Virginia Raye
Spike Jones Show
Sanka Fridays
Carmen Dragon
Harlow Wilcox
Paul Conrad
Daily News
Gypsy Rose
Tony Marvin
Network Sustained Thursdays
William Gargan.\n
Network Wings Cigarettes Fridays
Edmund Lowe
Cresta Blanca
Cresta Blanca\n
Fresh Bakery
Broadway Capitol Theater
Frank Bresee
John Mallow\n Music
Clint Noble
Carlyle Stevens\n Music
Mac Gregor
Patriotic Format
Richard Durham
Victor Jory Eventually
Jean Holloway
Mark Warnow
Scott Bishop Aired Fridays
Richard Sanville\n
Articles Outlining Canadian Social
Patrick Barr
Monica Gray
Gary Watson
John Powell\n
Fred Wiehe
Ray Bradbury
Robert Bloch
Robert Heinlein
Issac Asimov
Jean Hersholt
Judy Price
Lurene Tuttle
Helen Claire
Rosemary De Camp
Bernard Lenrow
Earl George\n
Barbara Eiler
Dick Trout
John Brown\n
Marjorie Lyons
George Wolfe
Richard Broach
Pat White
Edward Murphy
Ellen Lee Brassier
Mystery Show
George Carson Putnam
George Putnam
Emerson Buckley
MR. HYDE
Lew Ayres
Carl Weber
Harry Frazee\n
Alex De Tocquiville
George Probst
Listis Sinclair
Andrew Allen
David Kogan
Robert A.
Ed Gardner
Joseph Dunninger
Glenn Riggs
Don Lowe
Michell Ayers
Danny Kaye
Eve Arden
Lional Stander
Sylvia Fine
Brian Donlevy
Herb Butterfield
Betty Moran
Dan O'Herlihy
Australian Syndicated Series
Bob Hope Show
Ann Gillis
Judy Foster
Paul McGrath
Stars Dellie Ellis
Louise Erickson
Dix Davis
Ken Christy
Mandel Kramer\n
Mandel Kramer
Steve Dunn
Lucky Larson
Andy Show
Network Bristol Myers
Paul Lavalle
Person Dinah Shore
Gordon Jenkins
Cornelia Otis Skinner
Wally Brown
Robert Emmett Dolan Orchestra
Joseph Lilley
Art Baker\n Music
Eddie Pola
Grace Gibson
Ella Logan
Lou Bring
Pinky Lee
Alonzio Dean Cole
CLIFF ARQUETTE
Schenley Laboratories
Dee Englebach
Gary Merrill
Doctor Standish
Audrey Christie
Charles S. Monroe
Eddie Fisher
Gloria De
John Mason
Patricia Weil
Bernard Birquist
Emil Soderstrom
Irene Rich\n
Stephen Vincent
Tom Bennett
Lester O'Keefe
William Sweets\n
Alan M.
Joseph Gallichio
John Holtman\n
Pick Malone
Pat Padgett
Jack Arthur
Peter Van Steeden
John W. Gregory
Kenneth Delamr
Kenny Delmar
Frederic March
Monarch Program
Norman Mac Donnell
Les Crutchfield
John Dunkel\n Music
Ivan Ditmars
Cy Feuer
Del Castillo
Wilber Hatch
Stevens Sound
Bill Gould
Cliff Thorsness
East Coast Versions
Ronald Colman Tuesdays
Arch Oboler
Ronald Colman
Dave Rubinoff
Harry Einstein
Jimmy Wallington
Louis Glass Orchestra
Deanna Durbin
Bobby Breen
Pinkey Tomlin
Eddie Stanley
Elle Logan
Egor Gorin
Pinky Tomlin
Walter Wolf
Cookie Fairchild
Bert Gordon
Bobby Sherwood
Bert Gordon\n Hattie McDaniel
Shirley Dinsdale
Nora Martin
Leonard Sues
Emily Kipp
Billy Gray
Fred Martel
Thelma Carpenter
Patsy Bolton\n
Shirley Mitchell
Billie Burke
Bert Gordon\n
Network Anacin
Jane Ace
Eddie Bracken
Shirley Booth
Ann\n Rutherford
Janet Waldo
Ann Ruthford
Lincoln Mercury Encore
Jean Holloway\n
Harvey Hayes
George Zachary
Frederic Dannay
Manfred B.
Bernard Hermann
Howard Smith
Marian Shockley
Santos Ortega
East Coast
Charles Paul
Sydney Smith
Anthony Boucher
Lawrence Dobkin
Bill Smith
Ed Latimer
Chet Kingsbury
Dick Woolen
Rex Koury
Larry Haines
Detective Mike
Charlie Brown\n
Kenneth Banghart
John Campbell
Sigmund Romberg
