SHOW,STAR,,,,,,,,
ADVENTURES BY MORSE,Elliott Lewis,David Ellis,Russell Thorson,,,,,,
ARTHUR C. CLARKE'S WORLD OF SCIENCE FICTION,William Ruston,Hewell Bennett,,,,,,,
THE AVENGER,James Monks,Dick Janiver,,,,,,,
AVALON TIME,Red Skelton,Red Foley,Edna Stilwell,,,,,,
ALVINO REY- MAXINE GRAY SHOW,Alvino Rey,Maxine Gray,,,,,,,
THE ANDREWS SISTERS,The Andrews Sisters,Curt Massey,,,,,,,
THE ALAN YOUNG SHOW,Jean Gillespie,Ed Begley,Jim Backus,Diane Courtney,,,,,
THE STORY OF AUNT MARY,Jane Morgan,Fred Howard,Jane Webb,Douglas Mead,Patrick,,,,
AMOS AND ANDY,Freman Gosden,Charles Correll, Ernestine Wade,Amanda,,,,,
THE ABBOTT AND COSTELLO SHOW,Bud Abbott,Lou Costello,,,,,,,
THE AMAZING MR. MALONE,George Petrie,,,,,,,,
THE AMAZING MR. TUTT,Will Wright,John Beal,,,,,,,
THE ABE BURROWS SHOW,Abe Burrows,,,,,,,,
ACTION EIGHTY,William Conrad,Larry Dobkin,Ed Begley,,,,,,
ADVENTURE,Douglas Fairbanks Jr.,,,,,,,,
ADVENTURE INCORPORATED,Frank Graham,,,,,,,,
THE AL PEARCE SHOW,Al Pierce,,,,,,,,
ALL STAR WESTERN THEATER,Foy Willing,Tex Ritter,,,,,,,
THE ALADDIN KEROSENE MANTLE LAMP PROGRAM,Andy Walker,,,,,,,,
AT HOME WITH THE CRABTREES,Verna Felton,Joe Kerns,Jim Backus,,,,,,
AT YOUR REQUEST,Boyd Smith,Fred Casper,,,,,,,
ABC MYSTERY TIME,Mason Adams,,,,,,,,
AFRS RANCH HOUSE PARTY,Ken Curtis,Foy Willing,,,,,,,
ADVENTURES IN RHYTHM,Alvino Rey,Betty Jane Rhodes,,,,,,,
BROADWAY’S MY BEAT,Larry Thor,,,,,,,,
THE BOB HOPE SHOW,Bob Hope,,,,,,,,
BOSTON BLACKIE,Chester Morris,,,,,,,,
BRIGHT STAR,Irene Dunne,Fred MacMurray,,,,,,,
THE BLUE BEETLE,Frank Lovejoy,,,,,,,,
BARREL OF FUN,Charlie Ruggles,Benny Rubin,Verna Felton,,,,,,
THE BIG GUY,John Calvin,David Anderson,Joan Laser,,,,,,
THE BLACK BOOK,Paul Frees,,,,,,,,
BLACKSTONE THE MAGIC DETECTIVE,Ed Jerom,,,,,,,,
BRING ‘EM BACK ALIVE, Buck,,,,,,,,
THE BEATRICE KAYE SHOW,Beatrice Kaye,,,,,,,,
THE BICKERSONS,Francis Langford,Lew Parker,,,,,,,
BABY ROSE MARIE SHOW,Rose Marie Curley,,,,,,,,
THE BEULAH SHOW,Amanda Randolph,Hugh Studebaker,Mary Jane Croft,Ruby Dandridge,Ernie Whitman,Sammie Ogg,,,
BLONDIE,Penny Singleton,Arthur Lake,,,,,,,
BOLD VENTURE,Humphrey Bogart,Lauren Bacal,,,,,,,
BIG TOWN,Edward Pawley,Fran Carlon,Robert Dryden,,,,,,
THE BABY SNOOKS SHOW,Fanny Bryce,Hanley Stafford,,,,,,,
THE BOB AND RAY SHOW,Bob Elliot,Ray Goulding,,,,,,,
THE BOB BURNS PROGRAM,Bob Burns,,,,,,,,
BAKER’S BREAD PROGRAM,Tony Martin,Bert Lahr,Linda Ware,,,,,,
THE BEN BERNIE SHOW,Ben Bernie,,,,,,,,
BIG JIM MC LAIN,Jim Arness,,,,,,,,
THE BILLY GRAY BANDBOX,Billy Gray,,,,,,,,
BLACK HOOD,Scott Douglas,,,,,,,,
BLUE RIBBON TOWN,Kenny Baker,,,,,,,,
BOB AND VICTORIA,Bob Bailey,,,,,,,,
