SHOW,HOST,,,
ADVENTURES IN RESEARCH,Paul Shannon,,,
ALL AMERICAN ALL STAR JAZZ CONCERT,Howard Duff,,,
ACROSS THE UNIVERSE,Robert Lindsay,,,
ACTION THEATER,William Gargan,,,
ALBUM OF MANHATTAN,Louie Sobel,,,
AMERICA’S MOST INTERESTING PEOPLE,Jerry Lawrence,,,
ALL AMERICAN SPORTS SHOW,Joe Hassel,,,
ABC MYSTERY TIME,Don Dowd,,,
AFRS RANCH HOUSE PARTY,Carolina Cotten,,,
ADVENTURE PARADE,John Griggs,,,
AIR CASTLE,Baron Key,,,
ALAN FREED,Alan Freed,,,
ASK-IT BASKET,Jim McWilliams,,,
ARE YOU A GENIUS,Mel Blanc,,,
AMERICAN PANORAMA,True Boardman,,,
AMERICA'S TOWN MEETING OF THE AIR,George V. Denny Jr.,,,
AN AMERICAN RHAPSODY,Frederick Shields,,,
BEST PLAYS,John Chapman,,,
RIPLEY’s BELIEVE IT OR NOT,Robert Ripley,,,
BARREL OF FUN,Charlie Ruggles,,,
BIRDS EYE OPEN HOUSE,Dinah Shore,,,
THE BING CROSBY SHOW,Bing Crosby,,,
BEHIND THE MIKE,Graham McNamee,,,
THE BORDEN PROGRAM,Thomas L. Thomas,,,
BROWNSTONE THEATER,Clayton Hamilton,,,
THE BETTER HALF,Tiny Ruffner,,,
THE ADVENTURES OF BABE RUTH,Jackson Beck,,,
THE BARBARA WELLES SHOW,Barbara Welles,,,
BASIN STREET,Milton Cross,,,
BEAUTY VS. BRAINS,Win Elliot,,,
BEHIND THE FRONT PAGE,Gabriel Heatter,,,
BIG JIM MC LAIN,John Milton Kennedy,,,
BOX OFFICE,Edward Arnold,,,
BREAKFAST IN HOLLYWOOD,Tom Brennamen,,,
BEHIND THE SCENES,Knox Manning,,,
BY POPULAR DEMAND,Bud Collyer,,,
BLIND DATE,Arlene Francis,,,
THE BAKER,Feg Murray,,,
BATTLE OF THE SEXES,Alan King,,,
