Leith Stevens 
Elliott Lewis
David Ellis
William Ruston
Charles Michelson
James Monks
Dick Janiver
Edna Stilwell
Red Foley
Alvino Rey
Peter Cushing
Henry Stamfer
Sandra Clark
Shirley Dickson
Irene Tucklef
Fraser Carr
Andrew Spear
Steve  Titus
Joan Matheson
William Eagle
Clifford Norgate
James Thomlinson
Richard Herndle
Rene Bijenico
John Dyre
Chris Jenkins
Donald Monatt
Emma Peel
Andrews Sisters
Curt Massey
Andre Baruch 
Vic Schoen
Curt Massey 
Norman Corwin 
Edward R.
Sal Hepatica
Mums Fridays
Alan Young
Jim Backus
George Wyle
Jean Gillespie
Ed Begley
Herbert Rice
William Malley 
Terry O'Sullivan
Dee Engelbach
Ben Grauer
Jane Morgan
Fred Howard
Jane Webb
Douglas Mead
Josephine Gilbert
Vivi Janiss
Jack Edwards
Dick Wells
Hugh Brundage
George Fogle
Lee Crosby
Virginia Crosby
Gil South
John Malcom
Draper Lewis 
John Clayton
Freman Gosden
Charles Correlln 
Ernestine Wade
Harriett Widmar
Elinor Harriot
Terry Howard
Madeline Lee
Lou Lubin
Eddie Green
Charles Correll
Ernestine Wade
Freeman Gosden
Bud Abbott
Harry Von Zell
Frank Bingham
Peter Van Steeden Orchestra
Benay Venuta
Lou Costello
Mel Blanc 
Ken Niles
Leith Stevens
Freddie Rich
Will Oaborne
Alan Roth
Carl Hoff
Skinnay Ennis
Connie Haines
Camel Five
Les Baxter Singers
Matty Malneck
Susan Miller
Marilyn Williams
Hal Winters
Michael Roy
Frank Lovejoy
Gene Raymond
Craig Rice 
Arthur Gary
Bernard L. Schubert
Richard Lewis
Will Wright
Marlin Styles
Sustained Saturdays
Frank Parker
Harry Horlick
William Conrad
William Gargan 
Art Baker 
Douglas Fairbanks
Richard Kollmar
Al Pearce Ane
Blue Network
Larry Marsh
De Marco Sisters
Eilene Harris
Foy Willing
Tex Ritter
Andy Mansfield
William M.
Norman Vincent Peale
Verna Felton
Joe Kerns
Boyd Smith
Harry Cogan Orchestra
Allen Prescott
Ken Curtis
David Rose Orchestra
Betty Jane
John Griggs
Baron Keys
Alan Freed Orchestra
Duke Ellington
Horace Heidt
Dorothy Raye
Fred Lowery
Knox Manning
Nadine Conner
Bill Roberts
Edward Kay
George V. Denny
Jack Coakley
Gene Baker
Wilbur Hatch
James Matthews
Betty Jane Rhodes
John Chapman
Ernest Kinoy
Edward King
Fred Collins
Robert Denton Series
Merideth Wilson
Goodman Ace
Ed Herlihy
Robert Ripley 
Ozzie Nelson Orchestra
Rolfe Orchestra
Robert Ripley
Bill Griffis
George Lefferts
Douglas F.
Robert L.
Alan Ladd
Sylvia Picker
Vern Carstensen
Richard Sanville
Mike McDonough
Paul Frees BRIGHAM
Elliot Lewis 
George Burns
Ferde Grofe
Gracie Allen
Jacques Renard
Henry King
Dick Foran
Ronald Drake
Ray Noble
Jan Garber
Glen Gray
Frank Parker 
Truman Bradley 
Truman Bradley
Arti Shaw
Jimmy Cash
Richard Haydn
Paul Whiteman
Elvia Allman
Bill Goodwin
Felix Mills
Harry Von
Meredith Willson
Mel Blanc
Bea Benaderet
Hans Conreid
Gale Gordon 
Harry Lubin
Horace McNear
Hal March
Bromo Seltzer
Bob Hope
Jane Froman
Al Goodman
Shep Fields
Jerry Colonna
Patricia Wilder
Honey Chile
Patsey Kelly
Skinnay Ennis Orchestra
Six Hits
Judy Garland
Frances Langford
Betty Hutton 
Vera Vague
Barbara Jo Allen
Stan Kenton
Les Brown
Bill Farrell
Jack Kirkwood
Irene Ryan
Les Brown Orchestra
Four Hits
Marilyn Maxwell
Armed Forces Radio Shows
Chester Morris
Lesley Woods
Richard Lane
Dick Lane
Harlow Wilcox Above
Jack Costello
Leo Campenski Orchestra
Joseph Mansfield
Irene Dunne
Fred MacMurray
Skitch Henderson
Tonight Show
Jack Paar
Sara Flemming
Clark Dennis
Donald Graham
Sylvia Michaels
Jack Haskill
Art Gilmore 
Dave Rose 
Charlie Ruggles
Benny Rubin
John Calvin
David Anderson
Joan Laser
Paul Frees 
Harold Noice
Famous Exployer
Ed Jerome
Don Ameche
Danny  Thomas
Francis Langford
Lew Parker 
Robert Emmett
Glenhall Taylor
Rose Marie Curley
Dick Van
Bob Corley 
Amanda Randolph
Hugh Studebaker
Mary Jane Croft
Ernie Whitman
Johnny Jacobs
Sol Saks
Herb Finn
Bill Freedman
Sherward Schwartz
Arthur Julian
Hal Kanter
Howad Leeds
Bill Kirby
Bing Crosby
John Scott Trotter Orchestra
Jud Conlon
Bill Morrow
John Scott Trotter
Penny Singleton
Network Sustained
Ann Rutherford
Humphrey Bogart
Johnson Family
Larry Goldman
Earle Ross
Lillian Randolph
Donald Voorhees
Edward Pawley
Steve Wilson
Fran Carlon
Fanny Bryce
Bob Elloit
Tom Victor
Barnard J.
Gail Ingram
Max Ehrlich
Ernie Watson 
Harry Sosnick
Lucille Norman 
Bob Burns
Thomas L.
Frank Hummert
Bert Parks 
John Nelson 
Tiny Ruffner 
Joseph Gallicchio
Jackson Beck
Tony Martin
Bert Lahr
Larry Keating
Joseph Connelly
Bob Mosier
Albert Sachs
Olga San Juan
Brazillian Jive
Jose Olivera
Frank Morgan
Reginald Gardner
Ralph Bellamy
James Baskus
Norma Jean Nilsson
Hilmar Robert
Ben Bernie
John Milton
Wayne Fellows
Don Douglas
Scott Douglas
Kip Burland
Bob Crosby
Jeri Sullivan
Bob Smith 
Don Rickles 
Binnie Barnes
George Coulouris
Georgie Price
Dorothy Laudon
Ray Block
Norman Brokenshire 
Mary Small
Ray Bloch
Bobby Hammock
Irv Edelman
Wes Elemore
Harriet Hilliard
Ozzie Nelson
Bob Carleton
Julia Sanderson
Beulah Shark
Stan Dougherty
Broadcast Live
Australian Artrasna
Martha Wentworth
David Jordan 
Dorothy Kilgallen
Boyd Raeburn
Harry Wismer Announcer
Arthur Susskind
Gerald Mohr
Benny Goodman
Martha Tilton
Art Lund
Olan Soule
Celeste Rush
Barry Wood
Margaret Whiting
Henry Sylvern
Bernard Herrmann
Morton Fine
Bob Lemond
Roy Rowen
Elliot Lewis
Cathy Lewis 
Maxine Gray
Art Tatum
Bill Gordon 
Frank De Vol
Les Paul
Tony La
Cecil Parker
John Housman
Niles Welch
Ernest Chappell
Orson Welles
Ray Collins
Agnes Moorehead
Frank Readick
Georgia Backus
Everett Sloane
Edgar Barrier
John Dietz Arnold Moss
John Dickson
Dinah Shore
Harry James
Jack Johnstone
William N. Robson
William Conrad Music
Amerigo Moreno
Great Ingenious
Gayne Whiteman
Margaret MacDonald
Bob Bixby
Juan Rolando
Korla Pandit
Tom Collins
Irene Tedrow
Lee Miller
Joy Terry
Vieola Vonn
Luis Van
Jack Kruschen
Lee Millar
Organ Music
Daniel Sutter
Fred Weihe
Vic Perrin
Clyde Beatty
Buddy Duncan
Barbara Jean Wong
Joseph Kerns
Hanley Stafford
Howard McNear
Frank Nelson
Cy Kendall
Gale Gordon
Ted Osborne
Ed Max
Joe DuVal
Dorothy Scott
Bud Thompson
Clanville Heisch
William N.
Jim French 
Jim French
Pat French
Bill Lipton
Nick Carter
Armed Forces
Raymond Edward
Jack Mather
Nanette Sargent
Mike Wallace
John Dietz 
Archie Bleyer Orchestra
Fun Kids Serial
Natalie Masters
Henry Leff
Archie Blyer
Bill Cullen
Jackie Kelk
Art Carney
Raymond Edward Johnson
Gilbert Mack
Ed Prentiss
Jerry Browning
Fred Coffin
Bart Hayman
Herb Hartig 
Carl Schmidt
John Reed
Walter Miller
Sanborn Coffee Sundays
Charlie McCarthy
Edgar Bergen
Dorothy Lamour
Nelson Eddy
Wemdell Niles
Robert Armbruster
Jim Ameche 
Jim Ameche
Victor Moore
Anita Gordon
Edgar Bergan
Bill Baldwin 
Gary Crosby
Henry Levine
Woodbury Sundays
Army Reserve
Charlie Lung
Johnny Mercer
Jo Stafford
Paul Weston Orchestra
Perry Como
Robert R.
Glenn Ford Wm
Peg La Centra
Tim Ryan
Teddy Bergman
Alan Reed
Chris Lang
Andy Taylor
Simon Greenall
Harry Thompson
Chris Langham
Hearst Sundays
Carlton Young
Betty Lou
Charles Crowder
Leonard Joy
Stars Jackson
Connee Boswell
Lloyd Shaffer
Ted Husing
Jerry Belcher Interviews
Spike Jones
Ben Brady 
Charles K.
Joseph Julian
Peter Barry
George Petrie
Amzie Strickland
Robert Dryden 
John Cole
Dick Powell
George Raft
Jeanette Nolan
Hedda Hopper
Gene Autry
Don MacLaughlin
Andrew Jackson Hotel
Christina Welsh
Alice King
Paul Frees
Gordon P.
William Demarest
Art Peterson
Larry Alexander
Campbell Soup
Evelyn Knight
Dick Haymes
Ransom Sherman The Ranch Boys
Franklin Brown
Kay LaValle
Kay Armen 
Atrthur Rubinstein
Jan Peerce
Frank Black 
Roger Rittner
Louise Sharkey
Isabel Carothers
Clark Dennis 
Henry Busse
CLIFF JOHNSON
Krank Shave
Cliff Johnson 
Art West
Suzie West
Emmylou Harris
Carole Lombard
Groucho Marx
Robert Emmett Dolan
Milton Geiger
George Edwards
Australian Radio
Errol Flynn
Christopher Casanova
Walter Schumann
Carolina Cotton
Africa Bristal
Gillette Community
Milton Berle
Broadcast Service
Bar Association
Tommy McLoughlin
Victor Arden
David Rubinoff
Virginia Raye
Spike Jones Show
Sanka Fridays
Carmen Dragon
Harlow Wilcox
Paul Conrad
Daily News
Gypsy Rose
Tony Marvin
Network Sustained Thursdays
William Gargan. 
Network Wings Cigarettes Fridays
Edmund Lowe
Cresta Blanca
Cresta Blanca 
Fresh Bakery
Broadway Capitol Theater
Frank Bresee
John Mallow Music
Clint Noble
Carlyle Stevens Music
Mac Gregor
Patriotic Format
Richard Durham
Victor Jory Eventually
Jean Holloway
Mark Warnow
Scott Bishop Aired Fridays
Richard Sanville 
Articles Outlining Canadian Social
Patrick Barr
Monica Gray
Gary Watson
John Powell 
Fred Wiehe
Ray Bradbury
Robert Bloch
Robert Heinlein
Issac Asimov
Jean Hersholt
Judy Price
Lurene Tuttle
Helen Claire
Rosemary De Camp
Bernard Lenrow
Earl George 
Barbara Eiler
Dick Trout
John Brown 
Marjorie Lyons
George Wolfe
Richard Broach
Pat White
Edward Murphy
Ellen Lee Brassier
Mystery Show
George Carson Putnam
George Putnam
Emerson Buckley
MR. HYDE
Lew Ayres
Carl Weber
Harry Frazee 
Alex De Tocquiville
George Probst
Listis Sinclair
Andrew Allen
David Kogan
Robert A.
Ed Gardner
Joseph Dunninger
Glenn Riggs
Don Lowe
Michell Ayers
Danny Kaye
Eve Arden
Lional Stander
Sylvia Fine
Brian Donlevy
Herb Butterfield
Betty Moran
Dan O'Herlihy
Australian Syndicated Series
Bob Hope Show
Ann Gillis
Judy Foster
Paul McGrath
Stars Dellie Ellis
Louise Erickson
Dix Davis
Ken Christy
Mandel Kramer 
Mandel Kramer
Steve Dunn
Lucky Larson
Andy Show
Network Bristol Myers
Paul Lavalle
Person Dinah Shore
Gordon Jenkins
Cornelia Otis Skinner
Wally Brown
Robert Emmett Dolan Orchestra
Joseph Lilley
Art Baker Music
Eddie Pola
Grace Gibson
Ella Logan
Lou Bring
Pinky Lee
Alonzio Dean Cole
CLIFF ARQUETTE
Schenley Laboratories
Dee Englebach
Gary Merrill
Doctor Standish
Audrey Christie
Charles S. Monroe
Eddie Fisher
Gloria De
John Mason
Patricia Weil
Bernard Birquist
Emil Soderstrom
Irene Rich 
Stephen Vincent
Tom Bennett
Lester O'Keefe
William Sweets 
Alan M.
Joseph Gallichio
John Holtman 
Pick Malone
Pat Padgett
Jack Arthur
Peter Van Steeden
John W. Gregory
Kenneth Delamr
Kenny Delmar
Frederic March
Monarch Program
Norman Mac Donnell
Les Crutchfield
John Dunkel Music
Ivan Ditmars
Cy Feuer
Del Castillo
Wilber Hatch
Stevens Sound
Bill Gould
Cliff Thorsness
East Coast Versions
Ronald Colman Tuesdays
Arch Oboler
Ronald Colman
Dave Rubinoff
Harry Einstein
Jimmy Wallington
Louis Glass Orchestra
Deanna Durbin
Bobby Breen
Pinkey Tomlin
Eddie Stanley
Elle Logan
Egor Gorin
Pinky Tomlin
Walter Wolf
Cookie Fairchild
Bert Gordon
Bobby Sherwood
Bert Gordon Hattie McDaniel
Shirley Dinsdale
Nora Martin
Leonard Sues
Emily Kipp
Billy Gray
Fred Martel
Thelma Carpenter
Patsy Bolton 
Shirley Mitchell
Billie Burke
Bert Gordon 
Network Anacin
Jane Ace
Eddie Bracken
Shirley Booth
Ann Rutherford
Janet Waldo
Ann Ruthford
Lincoln Mercury Encore
Jean Holloway 
Harvey Hayes
George Zachary
Frederic Dannay
Manfred B.
Bernard Hermann
Howard Smith
Marian Shockley
Santos Ortega
East Coast
Charles Paul
Sydney Smith
Anthony Boucher
Lawrence Dobkin
Bill Smith
Ed Latimer
Chet Kingsbury
Dick Woolen
Rex Koury
Larry Haines
Detective Mike
Charlie Brown 
Kenneth Banghart
John Campbell
Sigmund Romberg
Robert Merrill
Ed East
Ralph Dumke
John Gart
Elza Schalert
Nancy Carr
Henry Weber
Jack Robinson
Ralph Langly
Happy Island
Network Borden Mondays
Ed Wynn
Jerry Wayne
Crazy Legs
Features Fred Hartley
Della Louise
Celeste Rush 
Coast Guard
Martha Wright
Maxwell House Coffee
Maxwell House
Cass Dailey
Eric Blore
Carlos Ramirez
Albert Sack
John Dehner
Jonathan D. Kendall
Raymond Burr
Kathleen Hite
John Meston
John  Dunkel
Gil Doud
Jack Newman
William Robson
Father Patrick
William F. Holland Productions
Lyle Sudrow
True Boardman
Claude Sweeten
Toby Reed
Jean Holloway 
Carmon Dragon
Dick Davis Chorus
Sam Edwards
Paul Dubov
Joel Murcott
Edwin C.
Maurice Franklin
Bruno Wick
Charlie Cantor
Himan Brown Series
Fred Allen
Kennneth Roberts
Ken Roberts
Lou Katzman
Ann Leaf
Paramount Theater
Mary McCoy
Scrappy Lambert
Songsmith Quartet
Ray Heatherton
Lennie Hayton
Marshall Bartholomew Singers
Walter Tetley
John Brown
Minerva Pious
Kenny Baker
Wynn Murray
Arthur Godfrey
Parker Fennelly
Betty Lou Gerson
Barbara Luddy
Les Tremayne
