Show,Genre,IA Identifier,,
21st Precinct,Crime Drama,https://archive.org/details/OTRR_21st_Precinct_Singles,,
A Canticle For Liebowitz,Science Fiction,,,
A Case For Dr. Morelle,Mystery,https://archive.org/details/ACaseForDrMorelle,,
A Date With Judy,Comedy,https://archive.org/details/A_Date_With_Judy,,
A Half Hour To Kill,Crime Drama,,,
A Life In Your Hands,Mystery,https://archive.org/details/A_Life_In_Your_Hands_744,,
Abc Mystery Time,Mystery,,,
Academy Award Theater,Anthology,https://archive.org/details/AcademyAwardTheaterXxx46.12.18LostAngel,,
Across The Universe,Unknown,,,
Action Eighty,Science Fiction,,,
Action Theater,Anthology,,,
Adventure,Adventure,,,
Adventure Incorporated,Adventure,,,
Adventure Is Your Heritage,War Drama,,,
Adventure Parade,Anthology,,,
Adventures By Morse,Adventure,https://archive.org/details/Adventures_By_Morse,,
Adventures In Research,Documentary,https://archive.org/details/Adventures_In_Research,,
Adventures In Rhythm,Music,,,
Adventures Of Bill Lance,Crime Drama,,,
Afrs Ranch House Party,Variety,,,
Air Castle,Childrens,,,
Alan Freed,Music,https://archive.org/details/OTE_19900906_Alan_Freed,,
Album Of Manhattan,Talk Show,,,
All American All Star Jazz Concert,Music,,,
All American Sports Show,Sports,,,
All Star Western Theater,Western,https://archive.org/details/OTRR_All_Star_Western_Theatre_Singles,,
Alvino Rey- Maxine Gray Show,Variety,,,
America's Most Interesting People,Documentary,,,
America's Town Meeting Of The Air,Talk Show,https://archive.org/details/ATMOTA,,
American Panorama,Documentary,,,
American Portraits,Historical Drama,,,
Amos And Andy,Comedy,https://archive.org/details/amosandy1,,
An American Gallery,Music,,,
An American Rhapsody,Unknown,,,
An Evening With Romberg,Music,,,
Anthology,Anthology,,,
Are You A Genius,Game Show,,,
Arthur C. Clarke's World Of Science Fiction,Science Fiction,,,
Ask-it Basket,Game Show,,,
At Home With The Crabtrees,Comedy,,,
At Your Request,Music,,,
Avalon Time,Comedy/Variety,https://archive.org/details/AvalonTimeRedSkelton,,
Baby Rose Marie Show,Music,https://archive.org/details/BabyRoseMarieCollection1930-1935Complete,,
Bachelor's Children,Drama,,,
Baker's Bread Program,Variety,,,
Barnaby,Comedy,,,
