Source,Target,Type,Label
Harold Stone,Ken Lynch,Undirected,21ST PRECINCT
Harold Stone,Les Damon,Undirected,21ST PRECINCT
Ken Lynch,Les Damon,Undirected,21ST PRECINCT
Bart Hayman,Fred Coffin,Undirected,A CANTICLE FOR LIEBOWITZ
Bart Hayman,Herb Hartig,Undirected,A CANTICLE FOR LIEBOWITZ
Bart Hayman,Russell Horton,Undirected,A CANTICLE FOR LIEBOWITZ
Fred Coffin,Herb Hartig,Undirected,A CANTICLE FOR LIEBOWITZ
Fred Coffin,Russell Horton,Undirected,A CANTICLE FOR LIEBOWITZ
Herb Hartig,Russell Horton,Undirected,A CANTICLE FOR LIEBOWITZ
Cecil Parker,Shiela Simms,Undirected,A CASE FOR DR. MORELLE
Ann Gillis,Bill Goodwin,Undirected,A DATE WITH JUDY
Ann Gillis,Dix Davis,Undirected,A DATE WITH JUDY
Ann Gillis,Ken Christy,Undirected,A DATE WITH JUDY
Ann Gillis,Louise Erickson,Undirected,A DATE WITH JUDY
Ann Gillis,Margaret Braeton,Undirected,A DATE WITH JUDY
Ann Gillis,Myra Marsh,Undirected,A DATE WITH JUDY
Ann Gillis,Paul Mcgrath,Undirected,A DATE WITH JUDY
Bill Goodwin,Dix Davis,Undirected,A DATE WITH JUDY
Bill Goodwin,Ken Christy,Undirected,A DATE WITH JUDY
Bill Goodwin,Louise Erickson,Undirected,A DATE WITH JUDY
Bill Goodwin,Margaret Braeton,Undirected,A DATE WITH JUDY
Bill Goodwin,Myra Marsh,Undirected,A DATE WITH JUDY
Bill Goodwin,Paul Mcgrath,Undirected,A DATE WITH JUDY
Dix Davis,Ken Christy,Undirected,A DATE WITH JUDY
Dix Davis,Louise Erickson,Undirected,A DATE WITH JUDY
Dix Davis,Margaret Braeton,Undirected,A DATE WITH JUDY
Dix Davis,Myra Marsh,Undirected,A DATE WITH JUDY
Dix Davis,Paul Mcgrath,Undirected,A DATE WITH JUDY
Ken Christy,Louise Erickson,Undirected,A DATE WITH JUDY
Ken Christy,Margaret Braeton,Undirected,A DATE WITH JUDY
Ken Christy,Myra Marsh,Undirected,A DATE WITH JUDY
Ken Christy,Paul Mcgrath,Undirected,A DATE WITH JUDY
Louise Erickson,Margaret Braeton,Undirected,A DATE WITH JUDY
Louise Erickson,Myra Marsh,Undirected,A DATE WITH JUDY
Louise Erickson,Paul Mcgrath,Undirected,A DATE WITH JUDY
Margaret Braeton,Myra Marsh,Undirected,A DATE WITH JUDY
Margaret Braeton,Paul Mcgrath,Undirected,A DATE WITH JUDY
Myra Marsh,Paul Mcgrath,Undirected,A DATE WITH JUDY
Don Dowd,Mason Adams,Undirected,ABC MYSTERY TIME
Dan Cubberly,Ed Begley,Undirected,ACTION EIGHTY
Dan Cubberly,Larry Dobkin,Undirected,ACTION EIGHTY
Dan Cubberly,William Conrad,Undirected,ACTION EIGHTY
Ed Begley,Larry Dobkin,Undirected,ACTION EIGHTY
Ed Begley,William Conrad,Undirected,ACTION EIGHTY
Larry Dobkin,William Conrad,Undirected,ACTION EIGHTY
Art Baker,William Gargan,Undirected,ACTION THEATER
George Hogan,John Griggs,Undirected,ADVENTURE PARADE
David Ellis,Elliott Lewis,Undirected,ADVENTURES BY MORSE
David Ellis,Russell Thorson,Undirected,ADVENTURES BY MORSE
Elliott Lewis,Russell Thorson,Undirected,ADVENTURES BY MORSE
Alvino Rey,Betty Jane Rhodes,Undirected,ADVENTURES IN RHYTHM
Gerald Mohr,Howard Mcnear,Undirected,ADVENTURES OF BILL LANCE
Carolina Cotton,Cottonseed Clark,Undirected,AFRS RANCH HOUSE PARTY
Carolina Cotton,Foy Willing,Undirected,AFRS RANCH HOUSE PARTY
Carolina Cotton,Ken Curtis,Undirected,AFRS RANCH HOUSE PARTY
Cottonseed Clark,Foy Willing,Undirected,AFRS RANCH HOUSE PARTY
Cottonseed Clark,Ken Curtis,Undirected,AFRS RANCH HOUSE PARTY
Foy Willing,Ken Curtis,Undirected,AFRS RANCH HOUSE PARTY
Foy Willing,Tex Ritter,Undirected,ALL STAR WESTERN THEATER
Rolley Thomas,Alvino Rey,Undirected,ALVINO REY - MAXINE GRAY SHOW
Rolley Thomas,Maxine Gray,Undirected,ALVINO REY - MAXINE GRAY SHOW
Alvino Rey,Maxine Gray,Undirected,ALVINO REY - MAXINE GRAY SHOW
Amanda Randolph,Charles Correll,Undirected,AMOS AND ANDY
Amanda Randolph,Ernestine Wade,Undirected,AMOS AND ANDY
Amanda Randolph,Freman Gosden,Undirected,AMOS AND ANDY
Charles Correll,Ernestine Wade,Undirected,AMOS AND ANDY
Charles Correll,Freman Gosden,Undirected,AMOS AND ANDY
Ernestine Wade,Freman Gosden,Undirected,AMOS AND ANDY
Art Balinger,Terry O'sullivan,Undirected,AN AMERICAN GALLERY
Frederick Shields,James Matthews,Undirected,AN AMERICAN RHAPSODY
Robert Merrill,Thomas Hayward,Undirected,AN EVENING WITH ROMBERG
Hewell Bennett,William Ruston,Undirected,ARTHUR C. CLARKE'S WORLD OF SCIENCE FICTION
Del Sharbutt,Jim Mcwilliams,Undirected,ASK-IT BASKET
Bob LeMond,Jim Backus,Undirected,AT HOME WITH THE CRABTREES
Bob LeMond,Joe Kerns,Undirected,AT HOME WITH THE CRABTREES
Bob LeMond,Verna Felton,Undirected,AT HOME WITH THE CRABTREES
Jim Backus,Joe Kerns,Undirected,AT HOME WITH THE CRABTREES
Jim Backus,Verna Felton,Undirected,AT HOME WITH THE CRABTREES
Joe Kerns,Verna Felton,Undirected,AT HOME WITH THE CRABTREES
Boyd Smith,Fred Casper,Undirected,AT YOUR REQUEST
Edna Stilwell,Red Foley,Undirected,AVALON TIME
Edna Stilwell,Red Skelton,Undirected,AVALON TIME
Red Foley,Red Skelton,Undirected,AVALON TIME
Olan Soule,Patricia Dunlap,Undirected,BACHELOR'S CHILDREN
Bert Lahr,Linda Ware,Undirected,BAKER'S BREAD PROGRAM
Bert Lahr,Tony Martin,Undirected,BAKER'S BREAD PROGRAM
Linda Ware,Tony Martin,Undirected,BAKER'S BREAD PROGRAM
Art Gilmore,Verna Felton,Undirected,BARREL OF FUN
Art Gilmore,Charlie Ruggles,Undirected,BARREL OF FUN
Art Gilmore,Benny Rubin,Undirected,BARREL OF FUN
Verna Felton,Charlie Ruggles,Undirected,BARREL OF FUN
Verna Felton,Benny Rubin,Undirected,BARREL OF FUN
Charlie Ruggles,Benny Rubin,Undirected,BARREL OF FUN
Barry Wood,Margaret Whiting,Undirected,BARRY WOOD SHOW
Barry Wood,The Melody Maids,Undirected,BARRY WOOD SHOW
Margaret Whiting,The Melody Maids,Undirected,BARRY WOOD SHOW
Alan King,Jack Costello,Undirected,BATTLE OF THE SEXES
Al Owen,Win Elliot,Undirected,BEAUTY VS. BRAINS
Cy Harrice,Gabriel Heatter,Undirected,BEHIND THE FRONT PAGE
Jim Arness,John M Kennedy,Undirected,BIG JIM MC LAIN
Edward Pawley,Fran Carlon,Undirected,BIG TOWN
Edward Pawley,Robert Dryden,Undirected,BIG TOWN
Fran Carlon,Robert Dryden,Undirected,BIG TOWN
Charles Henderson's Singing Razorbacks,Donald Novis,Undirected,BILLY ROSE'S JUMBO
Charles Henderson's Singing Razorbacks,Gloria Grafton,Undirected,BILLY ROSE'S JUMBO
Charles Henderson's Singing Razorbacks,Louis A. Witten,Undirected,BILLY ROSE'S JUMBO
Donald Novis,Gloria Grafton,Undirected,BILLY ROSE'S JUMBO
Donald Novis,Louis A. Witten,Undirected,BILLY ROSE'S JUMBO
Gloria Grafton,Louis A. Witten,Undirected,BILLY ROSE'S JUMBO
Dinah Shore,Harry Von Zell,Undirected,BIRDS EYE OPEN HOUSE
Arthur Lake,Bill Goodwin,Undirected,BLONDIE
Arthur Lake,Penny Singleton,Undirected,BLONDIE
Bill Goodwin,Penny Singleton,Undirected,BLONDIE
Bob Carleton,The Gene Plummer Quartet,Undirected,BOB CARLETON SHOW
Humphrey Bogart,Lauren Bacal,Undirected,BOLD VENTURE
Chester Morris,Harlow Wilcox,Undirected,BOSTON BLACKIE
Boyd Raeburn,Ginny Powell,Undirected,BOYD RAEBURN SHOW
Fred Macmurray,Irene Dunne,Undirected,BRIGHT STAR
Bud Collyer,Harry Babbitt,Undirected,BY POPULAR DEMAND
Bud Collyer,Mary Small,Undirected,BY POPULAR DEMAND
Harry Babbitt,Mary Small,Undirected,BY POPULAR DEMAND
Art Tatum,Bill Gordon,Undirected,CALIFORNIA MELODIES
Art Tatum,Maxine Gray,Undirected,CALIFORNIA MELODIES
Bill Gordon,Maxine Gray,Undirected,CALIFORNIA MELODIES
Amzie Strickland,George Petrie,Undirected,CALL THE POLICE
Amzie Strickland,Jay Simms,Undirected,CALL THE POLICE
Amzie Strickland,Robert Dryden,Undirected,CALL THE POLICE
George Petrie,Jay Simms,Undirected,CALL THE POLICE
George Petrie,Robert Dryden,Undirected,CALL THE POLICE
Jay Simms,Robert Dryden,Undirected,CALL THE POLICE
Dick Powell,Martha Tilton,Undirected,CAMPANA SERENADE
Edmund Lowe,William Gargan,Undirected,CAPTAIN FLAGG AND SERGEANT QUIRT
Boris Aplon,Ed Prentiss,Undirected,CAPTAIN MIDNIGHT
Carolina Cotton,The Rhythm Riders,Undirected,CAROLINA COTTON CALLS
Cathy Lewis,George Raft,Undirected,CASES OF MISTER ACE
Cathy Lewis,Jeanette Nolan,Undirected,CASES OF MISTER ACE
George Raft,Jeanette Nolan,Undirected,CASES OF MISTER ACE
Art Carney,Bill Cullen,Undirected,CELEBRITY CLUB
Art Carney,Clayton Collyer,Undirected,CELEBRITY CLUB
Art Carney,Jackie Kelk,Undirected,CELEBRITY CLUB
Art Carney,John Daly,Undirected,CELEBRITY CLUB
Art Carney,Margaret Whiting,Undirected,CELEBRITY CLUB
Bill Cullen,Clayton Collyer,Undirected,CELEBRITY CLUB
Bill Cullen,Jackie Kelk,Undirected,CELEBRITY CLUB
Bill Cullen,John Daly,Undirected,CELEBRITY CLUB
Bill Cullen,Margaret Whiting,Undirected,CELEBRITY CLUB
Clayton Collyer,Jackie Kelk,Undirected,CELEBRITY CLUB
Clayton Collyer,John Daly,Undirected,CELEBRITY CLUB
Clayton Collyer,Margaret Whiting,Undirected,CELEBRITY CLUB
Jackie Kelk,John Daly,Undirected,CELEBRITY CLUB
Jackie Kelk,Margaret Whiting,Undirected,CELEBRITY CLUB
John Daly,Margaret Whiting,Undirected,CELEBRITY CLUB
Henry Levine,Milton Cross,Undirected,CHAMBER MUSIC SOCIETY OF LOWER BASIN STREET
Henry Levine,Paul Lavalle,Undirected,CHAMBER MUSIC SOCIETY OF LOWER BASIN STREET
Milton Cross,Paul Lavalle,Undirected,CHAMBER MUSIC SOCIETY OF LOWER BASIN STREET
Betty Webb,Bob Bixby,Undirected,CHANDU  THE MAGICIAN
Betty Webb,Gayne Whiteman,Undirected,CHANDU  THE MAGICIAN
Betty Webb,Margaret Macdonald,Undirected,CHANDU  THE MAGICIAN
Betty Webb,Howard Culver,Undirected,CHANDU  THE MAGICIAN
Bob Bixby,Gayne Whiteman,Undirected,CHANDU THE MAGICIAN
Bob Bixby,Margaret Macdonald,Undirected,CHANDU THE MAGICIAN
Bob Bixby,Howard Culver,Undirected,CHANDU THE MAGICIAN
Gayne Whiteman,Margaret Macdonald,Undirected,CHANDU THE MAGICIAN
Gayne Whiteman,Howard Culver,Undirected,CHANDU THE MAGICIAN
Margaret Macdonald,Howard Culver,Undirected,CHANDU THE MAGICIAN
David Rubinoff,Hugh Conrad,Undirected,CHEVROLET PROGRAM
David Rubinoff,Jan Peerce,Undirected,CHEVROLET PROGRAM
David Rubinoff,Virginia Raye,Undirected,CHEVROLET PROGRAM
Hugh Conrad,Jan Peerce,Undirected,CHEVROLET PROGRAM
Hugh Conrad,Virginia Raye,Undirected,CHEVROLET PROGRAM
Jan Peerce,Virginia Raye,Undirected,CHEVROLET PROGRAM
Bill Lipton,Leon Janney,Undirected,CHICK CARTER - BOY DETECTIVE
Bing Crosby,Ken Carpenter,Undirected,CHRISTMAS SING WITH BING
Art West,Emmylou Harris,Undirected,CHUCK-WAGON JAMBOREE
Art West,Ken Curtis,Undirected,CHUCK-WAGON JAMBOREE
Art West,Suzie West,Undirected,CHUCK-WAGON JAMBOREE
Emmylou Harris,Ken Curtis,Undirected,CHUCK-WAGON JAMBOREE
Emmylou Harris,Suzie West,Undirected,CHUCK-WAGON JAMBOREE
Ken Curtis,Suzie West,Undirected,CHUCK-WAGON JAMBOREE
Ben Grauer,Joe Cook,Undirected,CIRCUS NIGHT IN SILVERTOWN
Andrews Sisters,Bob Crosby,Undirected,CLUB FIFTEEN
Helen Grayco,Spike Jones,Undirected,CLUB OASIS
Franklin Brown,Kay Lavalle,Undirected,COMEDY STARS OF HOLLYWOOD
Franklin Brown,The King's Men,Undirected,COMEDY STARS OF HOLLYWOOD
Kay Lavalle,The King's Men,Undirected,COMEDY STARS OF HOLLYWOOD
Milton Berle,Wendell Hall,Undirected,COMMUNITY SING
Kay Armen,Paul Whiteman,Undirected,CONTEMPORARY COMPOSERS CONCERT
Don Maclaughlin,Mandel Kramer,Undirected,COUNTERSPY
A.L. Alexander,Nelson Case,Undirected,COURT OF HUMAN RELATIONS
Dane Clark,Fred Collins,Undirected,CRIME AND PETER CHAMBERS
Gale Page,Marvin Miller,Undirected,CRISCO'S STAR PLAYHOUSE
Andy Taylor,Chris Langham,Undirected,CRUSADER CHRONICLES
Andy Taylor,Hugh Grant,Undirected,CRUSADER CHRONICLES
Andy Taylor,Rebecca Front,Undirected,CRUSADER CHRONICLES
Andy Taylor,Simon Greenall,Undirected,CRUSADER CHRONICLES
Chris Langham,Hugh Grant,Undirected,CRUSADER CHRONICLES
Chris Langham,Rebecca Front,Undirected,CRUSADER CHRONICLES
Chris Langham,Simon Greenall,Undirected,CRUSADER CHRONICLES
Hugh Grant,Rebecca Front,Undirected,CRUSADER CHRONICLES
Hugh Grant,Simon Greenall,Undirected,CRUSADER CHRONICLES
Rebecca Front,Simon Greenall,Undirected,CRUSADER CHRONICLES
Harry Elders,Mike Wallace,Undirected,CURTAIN TIME
Harry Elders,Nanette Sargent,Undirected,CURTAIN TIME
Harry Elders,Patrick Allen,Undirected,CURTAIN TIME
Mike Wallace,Nanette Sargent,Undirected,CURTAIN TIME
Mike Wallace,Patrick Allen,Undirected,CURTAIN TIME
Nanette Sargent,Patrick Allen,Undirected,CURTAIN TIME
Ella Logan,Sheldon Leonard,Undirected,DAISY DISCOVERS AMERICA
Betty Moran,Dwight Hauser,Undirected,DARK VENTURE
Alonzio Dean Cole,Mary Flynn,Undirected,DARLING AND DEARIE
Eddie Fisher,Gloria De Haven,Undirected,DATE IN HOLLYWOOD
Eddie Fisher,Hugo Winterhalter,Undirected,DATE IN HOLLYWOOD
Gloria De Haven,Hugo Winterhalter,Undirected,DATE IN HOLLYWOOD
Jack Haskell,John Holtman,Undirected,DESIGN FOR LISTENING
Dinah Shore,Truman Bradley,Undirected,DINAH SHORE SHOW
Bernard Lenrow,Earl George,Undirected,DOC SAVAGE
Audrey Christie,Eric Dressler,Undirected,DOCTOR STANDISH MEDICAL EXAMINER
Audrey Christie,Gary Merrill,Undirected,DOCTOR STANDISH MEDICAL EXAMINER
Eric Dressler,Gary Merrill,Undirected,DOCTOR STANDISH MEDICAL EXAMINER
Donald Curtis,Patricia Weil,Undirected,DOCTOR'S WIFE
Jack Arthur,Margaret Mccrea,Undirected,DR PEPPER PARADE
Jack Arthur,Pat Padgett,Undirected,DR PEPPER PARADE
Jack Arthur,Pick Malone,Undirected,DR PEPPER PARADE
Margaret Mccrea,Pat Padgett,Undirected,DR PEPPER PARADE
Margaret Mccrea,Pick Malone,Undirected,DR PEPPER PARADE
Pat Padgett,Pick Malone,Undirected,DR PEPPER PARADE
Carl Weber,Fred Collins,Undirected,DR. SIXGUN
Carl Weber,William Griffis,Undirected,DR. SIXGUN
Fred Collins,William Griffis,Undirected,DR. SIXGUN
Ed Wynn,Minerva Pios,Undirected,ED WYNN SHOW
Ed Wynn,Paul Douglas,Undirected,ED WYNN SHOW
Minerva Pios,Paul Douglas,Undirected,ED WYNN SHOW
Della Louise Orton,Garnett Marks,Undirected,EDITH ADAMS' FUTURE
Charlie Lung,Ralph Langly,Undirected,EL LOBO RIDES AGAIN
Paul Frees,Roy Rowan,Undirected,ESCAPE
Paul Frees,William Conrad,Undirected,ESCAPE
Roy Rowan,William Conrad,Undirected,ESCAPE
