SHOW,SHOW STAR
ADVENTURES BY MORSE,Elliott Lewis
ADVENTURES BY MORSE,David Ellis
ADVENTURES BY MORSE,Russell Thorson
ARTHUR C. CLARKE'S WORLD OF SCIENCE FICTION,William Ruston
ARTHUR C. CLARKE'S WORLD OF SCIENCE FICTION,Hewell Bennett
THE AVENGER,James Monks
THE AVENGER,Dick Janiver
AVALON TIME,Red Skelton
AVALON TIME,Red Foley
AVALON TIME,Edna Stilwell
ALVINO REY- MAXINE GRAY SHOW,Alvino Rey
ALVINO REY- MAXINE GRAY SHOW,Maxine Gray
THE ANDREWS SISTERS,The Andrews Sisters
THE ANDREWS SISTERS,Curt Massey
THE ALAN YOUNG SHOW,Jean Gillespie
THE ALAN YOUNG SHOW,Ed Begley
THE ALAN YOUNG SHOW,Jim Backus
THE ALAN YOUNG SHOW,Diane Courtney
THE STORY OF AUNT MARY,Jane Morgan
THE STORY OF AUNT MARY,Fred Howard
THE STORY OF AUNT MARY,Jane Webb
THE STORY OF AUNT MARY,Douglas Mead
THE STORY OF AUNT MARY,Patrick
AMOS AND ANDY,Freman Gosden
AMOS AND ANDY,Charles Correll
AMOS AND ANDY, Ernestine Wade
AMOS AND ANDY,Amanda
THE ABBOTT AND COSTELLO SHOW,Bud Abbott
THE ABBOTT AND COSTELLO SHOW,Lou Costello
THE AMAZING MR. MALONE,George Petrie
THE AMAZING MR. TUTT,Will Wright
THE AMAZING MR. TUTT,John Beal
THE ABE BURROWS SHOW,Abe Burrows
ACTION EIGHTY,William Conrad
ACTION EIGHTY,Larry Dobkin
ACTION EIGHTY,Ed Begley
ADVENTURE,Douglas Fairbanks Jr.
ADVENTURE INCORPORATED,Frank Graham
THE AL PEARCE SHOW,Al Pierce
ALL STAR WESTERN THEATER,Foy Willing
ALL STAR WESTERN THEATER,Tex Ritter
THE ALADDIN KEROSENE MANTLE LAMP PROGRAM,Andy Walker
AT HOME WITH THE CRABTREES,Verna Felton
AT HOME WITH THE CRABTREES,Joe Kerns
AT HOME WITH THE CRABTREES,Jim Backus
AT YOUR REQUEST,Boyd Smith
AT YOUR REQUEST,Fred Casper
ABC MYSTERY TIME,Mason Adams
AFRS RANCH HOUSE PARTY,Ken Curtis
AFRS RANCH HOUSE PARTY,Foy Willing
ADVENTURES IN RHYTHM,Alvino Rey
ADVENTURES IN RHYTHM,Betty Jane Rhodes
BROADWAYâ€_Ã„Ã´S MY BEAT,Larry Thor
THE BOB HOPE SHOW,Bob Hope
BOSTON BLACKIE,Chester Morris
BRIGHT STAR,Irene Dunne
BRIGHT STAR,Fred MacMurray
THE BLUE BEETLE,Frank Lovejoy
BARREL OF FUN,Charlie Ruggles
BARREL OF FUN,Benny Rubin
BARREL OF FUN,Verna Felton
THE BIG GUY,John Calvin
THE BIG GUY,David Anderson
THE BIG GUY,Joan Laser
THE BLACK BOOK,Paul Frees
BLACKSTONE THE MAGIC DETECTIVE,Ed Jerom
BRING â€_Ã„Ã_EM BACK ALIVE, Buck
THE BEATRICE KAYE SHOW,Beatrice Kaye
THE BICKERSONS,Francis Langford
THE BICKERSONS,Lew Parker
BABY ROSE MARIE SHOW,Rose Marie Curley
THE BEULAH SHOW,Amanda Randolph
THE BEULAH SHOW,Hugh Studebaker
THE BEULAH SHOW,Mary Jane Croft
THE BEULAH SHOW,Ruby Dandridge
THE BEULAH SHOW,Ernie Whitman
THE BEULAH SHOW,Sammie Ogg
BLONDIE,Penny Singleton
BLONDIE,Arthur Lake
BOLD VENTURE,Humphrey Bogart
BOLD VENTURE,Lauren Bacal
BIG TOWN,Edward Pawley
BIG TOWN,Fran Carlon
BIG TOWN,Robert Dryden
THE BABY SNOOKS SHOW,Fanny Bryce
THE BABY SNOOKS SHOW,Hanley Stafford
THE BOB AND RAY SHOW,Bob Elliot
THE BOB AND RAY SHOW,Ray Goulding
THE BOB BURNS PROGRAM,Bob Burns
BAKERâ€_Ã„Ã´S BREAD PROGRAM,Tony Martin
BAKERâ€_Ã„Ã´S BREAD PROGRAM,Bert Lahr
BAKERâ€_Ã„Ã´S BREAD PROGRAM,Linda Ware
THE BEN BERNIE SHOW,Ben Bernie
BIG JIM MC LAIN,Jim Arness
THE BILLY GRAY BANDBOX,Billy Gray
BLACK HOOD,Scott Douglas
BLUE RIBBON TOWN,Kenny Baker
BOB AND VICTORIA,Bob Bailey
THE BOB CROSBY SHOW,Bob Crosby 
THE BOB CROSBY SHOW,The Town Criers
THE BOB CROSBY SHOW,Jeri Sullivan
THE BOB CROSBY SHOW,Bob Crosby and The Bobcats
THE BOB SMITH SHOW,Bob Smith
THE STORY OF BUD BARTON,Dick Holland
BULLDOG DRUMMOND,Ned Wever
THE BIG TIME,Georgie Price
THE BIG TIME,Georgie Price and the Big Timers
BY POPULAR DEMAND,Mary Small
BY POPULAR DEMAND,Harry Babbitt
THE BAKERâ€_Ã„Ã´S BROADCAST,Harriet Hilliard
THE BAKERâ€_Ã„Ã´S BROADCAST,Ozzie Nelson
BOB CARLETON SHOW,Bob Carleton
BOB CARLETON SHOW,The Gene Plummer Quartet
BOB POOLE SHOW,Bob Poole
BOYD RAEBURN SHOW,Boyd Raeburn
BOYD RAEBURN SHOW,Ginny Powell
ADVENTURES OF BILL LANCE,Gerald Mohr
ADVENTURES OF BILL LANCE,Howard McNear
BACHELORâ€_Ã„Ã´S CHILDREN,Olan Soule
BACHELORâ€_Ã„Ã´S CHILDREN,Patricia Dunlap
BARRY WOOD SHOW,Barry Wood
BARRY WOOD SHOW,Margaret Whiting
BARRY WOOD SHOW,The Melody Maids
THE CLOCK,Elliott Lewis
THE CLOCK,Cathy Lewis
CALIFORNIA MELODIES,Maxine Gray
CALIFORNIA MELODIES,Art Tatum
A CASE FOR DR. MORELLE,Cecil Parker
A CASE FOR DR. MORELLE,Shiela Simms
CHANDU  THE MAGICIAN,Gayne Whiteman
CHANDU  THE MAGICIAN,Margaret MacDonald
CHANDU  THE MAGICIAN,Bob Bixby
CHANDU  THE MAGICIAN,Betty Webb
THE CLYDE BEATTY SHOW,Vic Perrin
THE CLYDE BEATTY SHOW,Eve McVeagh
CHICK CARTER - BOY DETECTIVE,Bill Lipton
CHICK CARTER - BOY DETECTIVE,Leon Janney
THE CISCO KID,Jack Mather
THE CISCO KID,Harry Lang
CURTAIN TIME,Nanette Sargent
CURTAIN TIME,Mike Wallace
CURTAIN TIME,Harry Elders
CASEY  CRIME PHOTOGRAPHER,Stats Cotsworth
CANDY MATSON YUKON,Natalie Masters
CELEBRITY CLUB,Jackie Kelk
CELEBRITY CLUB,Art Carney
CELEBRITY CLUB,Margaret Whiting
CLOAK AND DAGGER,Raymond Edward Johnson
CRIME DOES NOT PAY,Donald Buka
CAPTAIN MIDNIGHT,Ed Prentiss
CAPTAIN MIDNIGHT,Boris Aplon
CRIME AND PETER CHAMBERS,Dane Clark
A CANTICLE FOR LIEBOWITZ,Fred Coffin
A CANTICLE FOR LIEBOWITZ,Russell Horton
A CANTICLE FOR LIEBOWITZ,Bart Hayman
A CANTICLE FOR LIEBOWITZ,Herb Hartig
THE CHARLIE MCCARTHY SHOW,Charlie McCarthy
THE CHARLIE MCCARTHY SHOW,Edgar Bergen
THE CHARLIE MCCARTHY SHOW,Anita Gordon
THE CHARLIE MCCARTHY SHOW,Pat Patrick
CAN YOU IMAGINE THAT,Lindsey McCary
CHAMBER MUSIC SOCIETY OF LOWER BASIN STREET,Henry Levine
CHAMBER MUSIC SOCIETY OF LOWER BASIN STREET,Paul LaValle
THE CHESTERFIELD MUSIC SHOP,Johnny Mercer
THE CHESTERFIELD MUSIC SHOP,Jo Stafford
THE CHESTERFIELD MUSIC SHOP,Paul Weston Orchestra
THE CHESTERFIELD MUSIC SHOP, The Pied Pipers
THE CHESTERFIELD MUSIC SHOP,June Hutton
THE CHESTERFIELD SUPPER CLUB,Perry Como
THE CHESTERFIELD SUPPER CLUB,Jo Stafford
THE ADVENTURES OF CHRISTOPHER LONDON,Glenn Ford
CRUSADER CHRONICLES,Hugh Grant
CRUSADER CHRONICLES,Chris Lang
CRUSADER CHRONICLES,Andy Taylor
CRUSADER CHRONICLES,Simon Greenall
CRUSADER CHRONICLES,Chris Langham
CRUSADER CHRONICLES,Rebecca Front
THE COLGATE HOUSE PARTY,Frances Langford
THE COLGATE HOUSE PARTY,Donald Novis
THE COUNT OF MONTE CRISTO,Carlton Young
THE COUNT OF MONTE CRISTO,Betty Lou Gerson
THE CURTAIN OF TIME,Jeff Corey
THE CASEBOOK OF GREGORY HOOD,Elliott Lewis
THE CASEBOOK OF GREGORY HOOD,Howard McNear
THE CONNEE BOSWELL SHOW,Connee Boswell
THE CONNEE BOSWELL SHOW,Ted Husing
THE CONNEE BOSWELL SHOW,Bobby Doyle
CALL THE POLICE,George Petrie
CALL THE POLICE,Amzie Strickland
CALL THE POLICE,Robert Dryden
CAMPANA SERENADE,Dick Powell
CAMPANA SERENADE,Martha Tilton
CASES OF MISTER ACE,George Raft
CASES OF MISTER ACE,Jeanette Nolan
CASES OF MISTER ACE,Cathy Lewis
CHAPLAIN JIM,Don MacLaughlin
CRIME ON THE WATERFRONT,Myron Wallace
CRIME CORRESPONDENT,Paul Frees
THE COBBS,William Demarest
THE COBBS,Hope Emerson
CLUB FIFTEEN,Andrews Sisters
COMEDY STARS OF HOLLYWOOD,Franklin Brown
COMEDY STARS OF HOLLYWOOD,Kay LaValle
COMEDY STARS OF HOLLYWOOD,The King's Men
CONTEMPORARY COMPOSERS CONCERT,Paul Whiteman
CONTEMPORARY COMPOSERS CONCERT,Kay Armen
CAPTAIN STUBBY AND HIS BUCCANEERS,Tony Walberg
CREEPS BY NIGHT,Boris Karloff
THE CIRCLE ARROW SHOW,Jimmy Leonard
CLUB HOLLYWOOD,Rose Marie
COTY SALUTE TO YOUTH,Ray Noble
CHUCK-WAGON JAMBOREE,Art West
CHUCK-WAGON JAMBOREE,Suzie West
CHUCK-WAGON JAMBOREE,Emmylou Harris
THE COUNTRY EDITOR,Bob Burns
THE CIRCLE,Cary Grant
THE CIRCLE,Carole Lombard
THE CIRCLE,Groucho Marx
THE CIRCLE,Chico Marx
THE MODERN ADVENTURES OF CASANOVA,Errol Flynn
CAROLINA COTTON CALLS,Carolina Cotton
CAROLINA COTTON CALLS,The Rhythm Riders
COMMUNITY SING,Milton Berle
COMMUNITY SING,Wendell Hall
CHEVROLET PROGRAM,David Rubinoff
CHEVROLET PROGRAM,Virginia Raye
CHEVROLET PROGRAM,Jan Peerce
